tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,availability,primary_category_path,shippable,seller_name,tiki_hero,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,is_normal_delivery,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,imported,video_url,layout_type,ingestion_dt_unix,ingestion_date
115669047,7442834927703,"Nước lau sàn Gift Tinh chất Thiên Nhiên _ can 3,8 kg (Nhiều mùi hương)",nuoc-lau-san-gift-tinh-chat-thien-nhien-_-can-3-8-kg-nhieu-mui-huong-p115669047,nuoc-lau-san-gift-tinh-chat-thien-nhien-_-can-3-8-kg-nhieu-mui-huong-p115669047.html?spid=271967694,72000,20900,22,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/3e/ee/5e/38f4b4436b59c82911b4d774fe3db01a.png,271967694,92900,False,False,1,7442834927703,Việt Nam,1,1/2/2549/15078/4399/4398,True,Tiki Trading,1,280,False,True,1,False,GIFT,Nước lau sàn,261245.0,280,1,2777,7377452595631,3846,Đồ Chơi - Mẹ & Bé,Chăm sóc nhà cửa,Vệ sinh nhà bếp,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
270851667,8398718337298,Mặt nạ giấy dưỡng da Hàn Quốc innisfree My Real Squeeze Mask 22ml,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667.html?spid=270851673,23000,4000,15,5.0,20,https://salt.tikicdn.com/cache/280x280/ts/product/bf/53/49/e13ce097d90cdf7cfa849c6e650356e8.jpg,270851673,27000,False,False,1,8398718337298,Hàn Quốc,1,1/2/1520/1582/1601,True,Tiki Trading,1,280,False,True,1,,Innisfree,Mặt nạ,202607.0,280,1,993,2802466719573,2178,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,Korea,,,1710854652,2024-03-19
252608882,4825599512084,Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,365000,280750,43,4.8,317,https://salt.tikicdn.com/cache/280x280/ts/product/91/49/c8/755d45d6db913492c801f42a6244f9ae.jpg,252608883,645750,False,False,1,4825599512084,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,9207257987600,9128,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
252608902,1122504140413,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size XL 60 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902.html?spid=252608904,270000,203130,43,5.0,36,https://salt.tikicdn.com/cache/280x280/ts/product/7f/2e/b7/9f20be621cce5ff6d1aa20f12ceeb3a8.jpg,252608904,473130,False,False,1,1122504140413,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,9235196592172,9269,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
252608891,1033225203769,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,279000,194130,41,5.0,166,https://salt.tikicdn.com/cache/280x280/ts/product/5a/e0/43/2eb01f42fae6f5d263eed5f898f2c1eb.jpg,252608895,473130,False,False,1,1033225203769,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,2316696082775,22824,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
252608892,1690626241068,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size L 68 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-l-68-mieng-p252608892,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-l-68-mieng-p252608892.html?spid=252608896,270000,203130,43,5.0,39,https://salt.tikicdn.com/cache/280x280/ts/product/a3/6e/d9/89e87f1ebbf042edd6781cf83bf23eb9.jpg,252608896,473130,False,False,1,1690626241068,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,8899708774332,11309,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
247427686,1148589326379,Sữa bột Nestlé NAN OPTIPRO PLUS 2 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (6 - 12 tháng),sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686,sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686.html?spid=247427689,479000,0,0,5.0,237,https://salt.tikicdn.com/cache/280x280/ts/product/a5/a7/28/8afe88e11b4278e54e8bcd0091b0740f.jpg,247427689,479000,False,False,1,1148589326379,Thụy Sỹ,1,1/2/2549/8339/2600/2601,True,Tiki Trading,1,280,False,True,1,False,NAN,Sữa cho bé dưới 24 tháng ,33562.0,280,1,1951,8308330822879,25468,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
247427699,2360536511913,Sữa bột Nestlé NAN OPTIPRO PLUS 1 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (0 - 6 tháng),sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699,sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699.html?spid=247427700,475000,0,0,5.0,193,https://salt.tikicdn.com/cache/280x280/ts/product/21/30/c8/0626ae5799d1433f0bc5b97c5ef9a983.jpg,247427700,475000,False,False,1,2360536511913,Thụy Sỹ,1,1/2/2549/8339/2600/2601,True,Tiki Trading,1,280,False,True,1,False,NAN,Sữa cho bé dưới 24 tháng ,33562.0,280,1,1951,9784909917108,24739,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,,,,1710854652,2024-03-19
210966404,4061404332793,"Combo Sữa dưỡng thể Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày Bảo vệ, dưỡng sáng mịn và Dưỡng sáng chuyên sâu 330 ML",combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404,combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404.html?spid=210966406,226000,74000,25,4.6,41,https://salt.tikicdn.com/cache/280x280/ts/product/60/e8/f3/f1ea52ac7e99853696ce0aaac71f8080.png,210966406,300000,False,False,1,4061404332793,Thái Lan,1,1/2/1520/1592/1610/4413,True,Tiki Trading,1,280,False,True,1,,Vaseline,Sữa dưỡng thể,21274.0,280,1,899,2891534062382,2122,Làm Đẹp - Sức Khỏe,Chăm sóc cơ thể,Dưỡng Thể,OFFICIAL_STORE,False,,https://salt.tikicdn.com/ts/video/51/3a/ea/44912acc8c6039e2df2591c8bd30d134.mp4,,1710854652,2024-03-19
193583716,6348856566288,Sữa tắm dưỡng thể Dove Deep Moisture Dưỡng ẩm chuyên sâu với dưỡng chất lợi khuẩn da 900g,sua-tam-duong-the-dove-deep-moisture-duong-am-chuyen-sau-voi-duong-chat-loi-khuan-da-900g-p193583716,sua-tam-duong-the-dove-deep-moisture-duong-am-chuyen-sau-voi-duong-chat-loi-khuan-da-900g-p193583716.html?spid=193583717,169000,57000,25,4.8,116,https://salt.tikicdn.com/cache/280x280/ts/product/c3/07/81/4cdb8fad947b2e96b9b15fbe6c3401c9.png,193583717,226000,False,False,1,6348856566288,Việt Nam,1,1/2/1520/1592/8212/13878,True,Tiki Trading,1,280,False,True,1,,Dove,"Bông tắm, sữa tắm & xà bông",21265.0,280,1,1363,3882515091586,1576,Làm Đẹp - Sức Khỏe,Chăm sóc cơ thể,"Sữa tắm, xà bông, muối tắm",OFFICIAL_STORE,False,,,,1710854652,2024-03-19
135328953,2869363166428,Sữa bột Nestlé NAN SupremePro 2 lon 800g nhập khẩu từ Đức với 5HMO & đạm Gentle Optipro (6 - 24 tháng),sua-bot-nestle-nan-supremepro-2-lon-800g-nhap-khau-tu-duc-voi-5hmo-dam-gentle-optipro-6-24-thang-p135328953,sua-bot-nestle-nan-supremepro-2-lon-800g-nhap-khau-tu-duc-voi-5hmo-dam-gentle-optipro-6-24-thang-p135328953.html?spid=135328954,545000,0,0,4.8,338,https://salt.tikicdn.com/cache/280x280/ts/product/f4/9f/06/83279f4173376fc923e87656fa71088e.jpg,135328954,545000,False,False,1,2869363166428,Đức,1,1/2/2549/8339/2600/2601,True,Tiki Trading,1,280,False,True,1,False,NAN,Sữa cho bé dưới 24 tháng ,33562.0,280,1,1951,2934963819564,15398,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,True,Germany,,,1710854652,2024-03-19
121485346,7284923090600,Bàn Chải Điện P/S S100 PRO Trắng Răng Công Nghệ Sóng Âm Đen Nhám Chải Sạch Mảng Bám Tới 10X 1 Bộ,ban-chai-dien-p-s-s100-pro-trang-rang-cong-nghe-song-am-den-nham-chai-sach-mang-bam-toi-10x-1-bo-p121485346,ban-chai-dien-p-s-s100-pro-trang-rang-cong-nghe-song-am-den-nham-chai-sach-mang-bam-toi-10x-1-bo-p121485346.html?spid=121485348,789000,487370,38,4.7,1891,https://salt.tikicdn.com/cache/280x280/ts/product/cd/59/c5/7cf8b96a6096fe18c384df480da64005.png,121485348,1276370,False,False,1,7284923090600,Trung Quốc,1,1/2/1520/1594/1625/53348,True,Tiki Trading,1,280,False,True,1,,P/S,Bàn chải điện,21271.0,280,1,1037,8098682515908,8562,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Chăm sóc răng miệng,OFFICIAL_STORE,False,,https://salt.tikicdn.com/ts/video/bc/15/5b/16a47a81eaae0e5b1b6a5b496ff57598.mp4,,1710854652,2024-03-19
117170051,8834693473922,Combo 2 Sữa rửa mặt Simple giúp kiềm dầu và ngừa mụn hiệu quả - cho da mụn nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],sua-rua-mat-simple-giup-kiem-dau-ngua-mun-cho-da-mun-nhay-cam-khong-chua-xa-phong-150ml-chinh-hang-doc-quyen-p117170051,sua-rua-mat-simple-giup-kiem-dau-ngua-mun-cho-da-mun-nhay-cam-khong-chua-xa-phong-150ml-chinh-hang-doc-quyen-p117170051.html?spid=117170052,198000,66000,25,4.8,393,https://salt.tikicdn.com/cache/280x280/ts/product/7d/ca/7b/e46e42de7514cde6b0bc2b1020758a29.png,117170052,264000,False,False,1,8834693473922,Ba Lan,1,1/2/1520/1582/1583,True,Tiki Trading,1,280,False,True,1,False,SIMPLE,Sữa rửa mặt,185075.0,280,1,1071,5825229292529,49542,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,Poland,,,1710854652,2024-03-19
116410119,8247216513760,Túi Nước giặt Omo Nước giặt cửa trước hương Lavender Khử mùi thư thái 3.6KG,tui-nuoc-giat-omo-nuoc-giat-cua-truoc-huong-lavender-khu-mui-thu-thai-3-6kg-p116410119,tui-nuoc-giat-omo-nuoc-giat-cua-truoc-huong-lavender-khu-mui-thu-thai-3-6kg-p116410119.html?spid=116410120,175000,52000,23,4.8,1766,https://salt.tikicdn.com/cache/280x280/ts/product/0e/07/fe/68d90fd6b7cda4c6bccd18a163e747cc.png,116410120,227000,False,False,1,8247216513760,Việt Nam,1,1/2/2549/15078/4387/8239,True,Tiki Trading,1,280,False,True,1,False,Omo,Nước giặt,33323.0,280,1,2839,2825726353839,14479,Đồ Chơi - Mẹ & Bé,Chăm sóc nhà cửa,Giặt giũ & Chăm sóc quần áo,OFFICIAL_STORE,False,,https://salt.tikicdn.com/ts/video/1c/f7/8e/ab60b98e78021ec59d5e09efdfa0e31e.mp4,,1710854652,2024-03-19
