tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,availability,primary_category_path,shippable,seller_name,tiki_hero,imported,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,is_normal_delivery,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,video_url,layout_type,fastest_delivery_time,earliest_delivery_estimate,order_route,ingestion_dt_unix,ingestion_date
184476147,2833967241350,Bộ đôi Sữa rửa mặt tạo bọt Collagen cho da Khô - Sạch Sâu SENKA PERFECT WHIP COLLAGEN IN 120g,bo-doi-sua-rua-mat-tao-bot-collagen-cho-da-kho-sach-sau-senka-perfect-whip-collagen-in-120g-p184476147,bo-doi-sua-rua-mat-tao-bot-collagen-cho-da-kho-sach-sau-senka-perfect-whip-collagen-in-120g-p184476147.html?spid=272310544,173000,65000,27,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/be/64/52/6be212e64fdc9bbd985eef9a38c95c73.png,272310544,238000,False,False,1,2833967241350,Nhật Bản,1,1/2/1520/1582/1583,True,Tiki Trading,1,Japan,280,False,True,1,False,Senka,Sữa rửa mặt,86206.0,280,1,1071,4187639742470,2819,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,,1711862074,2024-03-31
270851667,8398718337298,Mặt nạ giấy dưỡng da Hàn Quốc innisfree My Real Squeeze Mask 22ml,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667.html?spid=270851673,23000,4000,15,5.0,20,https://salt.tikicdn.com/cache/280x280/ts/product/86/f8/b5/c75e6fc624b086e48ef2bed176cb558e.png,270851673,27000,False,False,1,8398718337298,Hàn Quốc,1,1/2/1520/1582/1601,True,Tiki Trading,1,Korea,280,False,True,1,,Innisfree,Mặt nạ,202607.0,280,1,993,2802466719573,2191,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,,1711862074,2024-03-31
252608882,4825599512084,Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,379000,266750,41,4.8,324,https://salt.tikicdn.com/cache/280x280/ts/product/91/49/c8/755d45d6db913492c801f42a6244f9ae.jpg,252608883,645750,False,False,1,4825599512084,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,9207257987600,9300,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
252608902,1122504140413,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size XL 60 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902.html?spid=252608904,265000,208130,44,4.8,38,https://salt.tikicdn.com/cache/280x280/ts/product/7f/2e/b7/9f20be621cce5ff6d1aa20f12ceeb3a8.jpg,252608904,473130,False,False,1,1122504140413,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,9235196592172,9797,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
252608891,1033225203769,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,289000,184130,39,5.0,168,https://salt.tikicdn.com/cache/280x280/ts/product/5a/e0/43/2eb01f42fae6f5d263eed5f898f2c1eb.jpg,252608895,473130,False,False,1,1033225203769,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,2316696082775,23952,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
247427686,1148589326379,Sữa bột Nestlé NAN OPTIPRO PLUS 2 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (6 - 12 tháng),sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686,sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686.html?spid=247427689,485000,0,0,5.0,239,https://salt.tikicdn.com/cache/280x280/ts/product/a5/a7/28/8afe88e11b4278e54e8bcd0091b0740f.jpg,247427689,485000,False,False,1,1148589326379,Thụy Sỹ,1,1/2/2549/8339/2600/2601,True,Tiki Trading,1,,280,False,True,1,False,NAN,Sữa cho bé dưới 24 tháng ,33562.0,280,1,1951,8308330822879,26861,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
247427699,2360536511913,Sữa bột Nestlé NAN OPTIPRO PLUS 1 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ (0 - 6 tháng),sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699,sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699.html?spid=247427700,485000,0,0,5.0,197,https://salt.tikicdn.com/cache/280x280/ts/product/21/30/c8/0626ae5799d1433f0bc5b97c5ef9a983.jpg,247427700,485000,False,False,1,2360536511913,Thụy Sỹ,1,1/2/2549/8339/2600/2601,True,Tiki Trading,1,,280,False,True,1,False,NAN,Sữa cho bé dưới 24 tháng ,33562.0,280,1,1951,9784909917108,25523,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
220822718,6369824464809,Thùng 3 tã dán sơ sinh Huggies mới S54 (4kg-8kg) - Gói 54 miếng Tràm Trà + Tặng 6 miếng,combo-3-ta-dan-so-sinh-huggies-moi-s54-4kg-8kg-goi-54-mieng-tram-tra-tang-6-mieng-p220822718,combo-3-ta-dan-so-sinh-huggies-moi-s54-4kg-8kg-goi-54-mieng-tram-tra-tang-6-mieng-p220822718.html?spid=220822719,475000,185000,28,4.8,109,https://salt.tikicdn.com/cache/280x280/ts/product/14/4e/ed/4953b1fde2307e2332cf23439c77f970.jpg,220822719,660000,False,False,1,6369824464809,Việt Nam,1,1/2/2549/2551/2552,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã dán,26702.0,280,1,1905,3027427000632,2502,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
210966404,4061404332793,"Combo Sữa dưỡng thể Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày Bảo vệ, dưỡng sáng mịn và Dưỡng sáng chuyên sâu 330 ML",combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404,combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404.html?spid=210966406,237000,63000,21,4.7,43,https://salt.tikicdn.com/cache/280x280/ts/product/60/e8/f3/f1ea52ac7e99853696ce0aaac71f8080.png,210966406,300000,False,False,1,4061404332793,Thái Lan,1,1/2/1520/1592/1610/4413,True,Tiki Trading,1,,280,False,True,1,,Vaseline,Sữa dưỡng thể,21274.0,280,1,899,2891534062382,2127,Làm Đẹp - Sức Khỏe,Chăm sóc cơ thể,Dưỡng Thể,OFFICIAL_STORE,False,https://salt.tikicdn.com/ts/video/51/3a/ea/44912acc8c6039e2df2591c8bd30d134.mp4,,,,,1711862074,2024-03-31
193583716,6348856566288,Sữa tắm dưỡng thể Dove Deep Moisture Dưỡng ẩm chuyên sâu với dưỡng chất lợi khuẩn da 900g,sua-tam-duong-the-dove-deep-moisture-duong-am-chuyen-sau-voi-duong-chat-loi-khuan-da-900g-p193583716,sua-tam-duong-the-dove-deep-moisture-duong-am-chuyen-sau-voi-duong-chat-loi-khuan-da-900g-p193583716.html?spid=193583717,181000,45000,20,4.8,116,https://salt.tikicdn.com/cache/280x280/ts/product/c3/07/81/4cdb8fad947b2e96b9b15fbe6c3401c9.png,193583717,226000,False,False,1,6348856566288,Việt Nam,1,1/2/1520/1592/8212/13878,True,Tiki Trading,1,,280,False,True,1,False,Dove,Dụng cụ tắm,21265.0,280,1,1363,3882515091586,1589,Làm Đẹp - Sức Khỏe,Chăm sóc cơ thể,Tắm và dụng cụ tắm,OFFICIAL_STORE,False,,,,,,1711862074,2024-03-31
