tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,layout_type,availability,primary_category_path,shippable,seller_name,tiki_hero,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,fastest_delivery_time,order_route,is_normal_delivery,imported,video_url,ingestion_dt_unix,ingestion_date
66512832,7796518723519,Máy Hút Bụi Lock&Lock ENV336BLK (400W) - Hàng Chính Hãng,may-hut-bui-lock-lock-env336blk-400w-hang-chinh-hang-p66512832,may-hut-bui-lock-lock-env336blk-400w-hang-chinh-hang-p66512832.html?spid=66512833,1684000,1574000,48,4.7,1229,https://salt.tikicdn.com/cache/280x280/ts/product/ff/d8/d6/0dcbb3a415930cbc4a988a8642e0bd71.png,66512833,3258000,False,False,1,7796518723519,Trung Quốc,,1,1/2/1882/1946/2009/2039,True,Tiki Trading,1,280,False,True,1,LocknLock,Hút bụi cầm tay,48077.0,280,1,168,5856182606654,4087,Điện Gia Dụng,Thiết bị gia đình,Máy hút bụi,OFFICIAL_STORE,False,,,,,https://salt.tikicdn.com/ts/video/bb/11/4a/f62b363de2e4d21f8bb1c4c3ecaf72ed.mp4,1715265980,2024-05-09
59479717,8503507551225,Máy sấy tóc Philips BHC010/10 - Hàng Chính Hãng,may-say-toc-philips-bhc010-10-hang-chinh-hang-p59479717,may-say-toc-philips-bhc010-10-hang-chinh-hang-p59479717.html?spid=59479718,289000,106000,27,4.8,338,https://salt.tikicdn.com/cache/280x280/ts/product/b8/73/05/1be38339f129b7c8b109ce209c9a33dc.jpg,59479718,395000,False,False,1,8503507551225,Trung Quốc,grid_view,1,1/2/1882/1946/55946/2334,True,Tiki Trading,1,280,False,True,1,Philips,Máy sấy tóc,19018.0,280,1,885,4404191078255,1625,Điện Gia Dụng,Thiết bị gia đình,Thiết bị chăm sóc cá nhân,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
58342212,8218625898243,Set 3 cuốn Moi Moi và những người bạn - Dành cho trẻ từ 0-2 tuổi,set-3-cuon-moi-moi-va-nhung-nguoi-ban-danh-cho-tre-tu-0-2-tuoi-p58342212,set-3-cuon-moi-moi-va-nhung-nguoi-ban-danh-cho-tre-tu-0-2-tuoi-p58342212.html?spid=59395317,76100,40900,35,5.0,638,https://salt.tikicdn.com/cache/280x280/ts/product/65/4f/85/d236419a127c68540e79747dd981b071.png,59395317,117000,False,False,1,8218625898243,,grid_view,1,1/2/8322/316/393/6040,True,Tiki Trading,0,280,False,False,1,,Truyện tranh Ehon,,280,1,252,5085821233016,4135,Nhà Sách Tiki,Sách tiếng Việt,Sách thiếu nhi ,OFFICIAL_STORE,False,2024-05-13 19:00:00,hn_hcm,,,,1715265980,2024-05-09
136666870,7573560686425,Dầu Gội PANTENE Chai,dau-goi-pantene-chai-650ml-900ml-1-2l-1-8l-p136666870,dau-goi-pantene-chai-650ml-900ml-1-2l-1-8l-p136666870.html?spid=58462893,188000,37000,16,4.7,22,https://salt.tikicdn.com/cache/280x280/ts/product/06/ae/50/777e8a9ca14fb5ddfcdea991901d122c.jpg,58462893,225000,True,False,1,7573560686425,Thái Lan,,1,1/2/1520/1591/8222/1613/68294,True,Tiki Trading,1,280,False,False,1,Pantene,"Dầu gội ngừa gãy rụng, kích thích mọc tóc",21276.0,280,1,853,2482963473832,2277,Làm Đẹp - Sức Khỏe,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",OFFICIAL_STORE,False,2024-05-13 19:00:00,hn_hcm,,,,1715265980,2024-05-09
53507455,6610111019477,Bộ Đôi TSUBAKI Phục Hồi Ngăn Rụng Tóc (490ml/chai),bo-doi-tsubaki-phuc-hoi-ngan-rung-toc-490ml-chai-p53507455,bo-doi-tsubaki-phuc-hoi-ngan-rung-toc-490ml-chai-p53507455.html?spid=56655136,318000,112000,26,4.8,135,https://salt.tikicdn.com/cache/280x280/ts/product/0c/68/be/e76389f6c115875c5d0170ac7cd50ec1.jpg,56655136,430000,False,False,1,6610111019477,Nhật Bản,,1,1/2/1520/1591/8222/1613/68294,True,Tiki Trading,0,280,False,True,1,TSUBAKI,"Dầu gội ngừa gãy rụng, kích thích mọc tóc",238861.0,280,1,853,1153050596616,7436,Làm Đẹp - Sức Khỏe,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",OFFICIAL_STORE,True,,,,Japan,,1715265980,2024-05-09
53506478,7659250562672,Bộ Đôi TSUBAKI Dưỡng Tóc Bóng Mượt (490ml/chai),bo-doi-tsubaki-duong-toc-bong-muot-490ml-chai-p53506478,bo-doi-tsubaki-duong-toc-bong-muot-490ml-chai-p53506478.html?spid=56655135,318000,112000,26,5.0,20,https://salt.tikicdn.com/cache/280x280/ts/product/8a/41/64/15ce62db933db04029a4445f1a05ab3e.jpg,56655135,430000,False,False,1,7659250562672,Nhật Bản,,1,1/2/1520/1591/8222/1613/68293,True,Tiki Trading,0,280,False,True,1,TSUBAKI,"Dầu gội bóng mượt, phục hồi hư tổn",238861.0,280,1,853,1697471749300,2215,Làm Đẹp - Sức Khỏe,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",OFFICIAL_STORE,True,,,,Japan,,1715265980,2024-05-09
55461727,9864667853444,Kem Dưỡng Sáng Da Laneige Radian-C Cream 50ml,kem-duong-sang-da-laneige-radian-c-cream-50ml-p55461727,kem-duong-sang-da-laneige-radian-c-cream-50ml-p55461727.html?spid=55461728,1058508,141492,12,4.6,179,https://salt.tikicdn.com/cache/280x280/ts/product/d7/ed/84/4d74586949b8928653355cbd45fd996a.jpg,55461728,1200000,True,False,1,9864667853444,Hàn Quốc,grid_view,1,1/2/1520/1582/17170/11669,True,Tiki Trading,0,280,False,True,1,Laneige,Kem dưỡng trắng,64932.0,280,1,1103,2579162520292,724,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Kem và sữa dưỡng da,OFFICIAL_STORE,True,,,,Korea,,1715265980,2024-05-09
53831604,9780424993843,Dầu Gạo Lứt Simply 2L,dau-gao-lut-simply-2l-p53831604,dau-gao-lut-simply-2l-p53831604.html?spid=53831605,138000,11000,7,5.0,404,https://salt.tikicdn.com/cache/280x280/ts/product/fe/b0/53/5a8c6f4f8e2c6b5b2c160a24ddab5c10.jpg,53831605,149000,False,False,1,9780424993843,Việt Nam,,1,1/2/4384/4422/5477/8284,False,Tiki Trading,0,280,False,False,1,Simply,Dầu thực vật,48257.0,280,1,2865,7993121908948,4308,Bách Hóa Online,Gia Vị và Chế Biến,Dầu ăn,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
135079395,2808766166514,Bàn ủi hơi nước Philips GC1740 (2000W) - Hàng chính hãng,ban-ui-hoi-nuoc-philips-gc1740-2000w-hang-chinh-hang-p135079395,ban-ui-hoi-nuoc-philips-gc1740-2000w-hang-chinh-hang-p135079395.html?spid=51227518,459000,240000,34,4.8,137,https://salt.tikicdn.com/cache/280x280/ts/product/ef/1a/0d/a33928c5a67358084e6ae7ff652adf88.jpg,51227518,699000,False,False,1,2808766166514,Trung Quốc,,1,1/2/1882/1946/1993/1994,True,Tiki Trading,1,280,False,True,1,Philips,Bàn ủi hơi nước,19018.0,280,1,163,8582731403823,1986,Điện Gia Dụng,Thiết bị gia đình,"Bàn ủi, bàn là",OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
50685547,4287739111559,Bản Đồ (Bản Thông Thường),ban-do-p50685547,ban-do-p50685547.html?spid=50685549,207000,138000,40,4.8,944,https://salt.tikicdn.com/cache/280x280/ts/product/6f/c4/48/574854f032ae36fc0d0a57b61f588965.jpg,50685549,345000,False,False,1,4287739111559,,,1,1/2/8322/316/393/853,True,Tiki Trading,1,280,False,False,1,,Kiến thức - Bách khoa,,280,1,252,2022689106017,5985,Nhà Sách Tiki,Sách tiếng Việt,Sách thiếu nhi ,OFFICIAL_STORE,False,2024-05-13 19:00:00,hn_hcm,,,,1715265980,2024-05-09
